agency_cd,site_no,parameter_cd,ts_id,year_nu,mean_va
USGS,8039100,60,132821,1960,72
USGS,8039100,60,132821,1961,156
USGS,8039100,60,132821,1962,68.8
USGS,8039100,60,132821,1963,31.9
USGS,8039100,60,132821,1964,54
USGS,8039100,60,132821,1965,24.8
USGS,8039100,60,132821,1966,76.3
USGS,8039100,60,132821,1967,17.4
USGS,8039100,60,132821,1968,113.3
USGS,8039100,60,132821,1969,141.8
USGS,8039100,60,132821,1970,27.9
USGS,8039100,60,132821,1971,6.36
USGS,8039100,60,132821,1972,39.8
USGS,8039100,60,132821,1973,148.4
USGS,8039100,60,132821,1974,165
USGS,8039100,60,132821,1975,171.7
USGS,8039100,60,132821,1976,49
USGS,8039100,60,132821,1977,42.4
USGS,8039100,60,132821,1978,74.4
USGS,8039100,60,132821,1979,190.6
USGS,8039100,60,132821,1980,86.1
USGS,8039100,60,132821,1981,23.9
USGS,8039100,60,132821,1982,53.2
USGS,8039100,60,132821,1983,171.3
USGS,8039100,60,132821,1984,106.3
USGS,8039100,60,132821,1985,64
